zone,population,placename,type,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
SO6,NA,NA,Property,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO6,NA,NA,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO7,NA,NA,Other/Unknown,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO7,NA,NA,Property,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO7,NA,NA,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO9,NA,NA,Other/Unknown,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO9,NA,NA,Property,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO9,NA,NA,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unknown,NA,NA,Other/Unknown,1,60,118,85,91,143,85,25,36,43,40,34,41,40,51,115,38.3,-4.7,18.6,24.4,33,NA,NA,NA,NA,NA,NA
Unknown,NA,NA,Property,3,25,52,30,80,118,55,20,15,17,15,11,9,19,22,35,11.7,-47.1,29.4,144.4,88,NA,NA,NA,NA,NA,NA
Unknown,NA,NA,Violent,0,14,22,29,21,27,11,6,7,20,8,6,9,6,7,23,7.7,-55,-65,-22.2,-9,NA,NA,NA,NA,NA,NA
