zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,2026,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
11,1100,Downtown Fayetteville,Other/Unknown,378,381,384,300,331,382,332,289,285,383,292,249,274,269,255,280,112,280,815,271.7,-28.5,-26.9,2.2,3,34818.2,26545.5,22636.4,24909.1,25454.5,24700
11,1100,Downtown Fayetteville,Robbery,34,44,44,45,43,25,13,14,21,17,21,13,18,22,18,18,9,19,52,17.3,5.9,11.8,5.6,10,1545.5,1909.1,1181.8,1636.4,1727.3,1572.7
11,1100,Downtown Fayetteville,Theft,317,390,382,276,219,218,172,187,200,181,209,170,214,185,180,135,63,146,593,197.7,18.2,-19.3,-31.8,-26,16454.5,19000,15454.5,19454.5,13272.7,17972.7
12,15300,Wooded Lake and Jordan Soccer Complex,Aggravated Assault,25,13,20,7,10,18,25,23,33,41,52,56,45,29,26,57,14,52,153,51,9.8,26.8,15.6,2,268,339.9,366,294.1,339.9,333.3
12,15300,Wooded Lake and Jordan Soccer Complex,Burglary,147,207,195,150,110,86,70,57,71,42,71,82,83,56,38,53,19,52,236,78.7,97.6,23.8,-37.3,-34,274.5,464.1,535.9,542.5,339.9,514.4
12,15300,Wooded Lake and Jordan Soccer Complex,Motor Vehicle Theft,51,47,38,50,42,22,14,18,17,34,127,32,34,46,65,62,17,58,193,64.3,0,70.6,70.6,-10,222.2,830.1,209.2,222.2,379.1,420.3
12,15300,Wooded Lake and Jordan Soccer Complex,Murder,0,0,1,0,1,0,1,2,0,1,1,2,1,0,2,2,0,0,4,1.3,0,-100,-100,-100,6.5,6.5,13.1,6.5,0,8.5
12,15300,Wooded Lake and Jordan Soccer Complex,Other/Unknown,382,355,433,370,360,434,413,414,378,422,473,422,448,335,313,424,168,455,1343,447.7,6.2,7.8,1.6,2,2758.2,3091.5,2758.2,2928.1,2973.9,2926.1
12,15300,Wooded Lake and Jordan Soccer Complex,Robbery,16,13,35,15,10,19,19,11,11,14,14,16,14,11,5,16,1,14,44,14.7,0,0,0,-5,91.5,91.5,104.6,91.5,91.5,96.1
12,15300,Wooded Lake and Jordan Soccer Complex,Theft,452,389,551,483,413,404,442,354,278,285,362,416,500,333,314,369,140,366,1278,426,75.4,28.4,-26.8,-14,1862.7,2366,2719,3268,2392.2,2784.3
13,6900,Montclair,Aggravated Assault,12,14,14,16,10,13,26,33,45,43,54,31,68,30,38,60,15,46,153,51,58.1,7,-32.4,-10,623.2,782.6,449.3,985.5,666.7,739.1
13,6900,Montclair,Burglary,82,81,80,126,76,64,64,70,60,54,51,48,45,32,35,54,20,56,144,48,-16.7,3.7,24.4,17,782.6,739.1,695.7,652.2,811.6,695.7
13,6900,Montclair,Motor Vehicle Theft,47,36,55,48,49,27,27,42,18,27,22,32,38,35,59,61,14,42,92,30.7,40.7,55.6,10.5,37,391.3,318.8,463.8,550.7,608.7,444.9
13,6900,Montclair,Murder,0,0,1,0,0,0,1,1,1,0,0,0,3,0,2,5,1,4,3,1,NA,NA,33.3,300,0,0,0,43.5,58,14.5
13,6900,Montclair,Other/Unknown,427,516,436,587,522,508,471,512,478,503,420,328,431,331,392,427,151,421,1179,393,-14.3,-16.3,-2.3,7,7289.9,6087,4753.6,6246.4,6101.4,5695.7
13,6900,Montclair,Robbery,18,22,30,46,31,24,17,16,15,23,11,7,10,13,14,17,4,14,28,9.3,-56.5,-39.1,40,51,333.3,159.4,101.4,144.9,202.9,134.8
13,6900,Montclair,Theft,1359,1199,1010,976,675,556,536,601,461,492,406,343,468,421,610,715,279,693,1217,405.7,-4.9,40.9,48.1,71,7130.4,5884.1,4971,6782.6,10043.5,5879.7
14,6900,North Reilly Road,Aggravated Assault,10,13,14,8,11,17,30,29,41,37,46,43,42,32,21,42,11,37,131,43.7,13.5,0,-11.9,-15,536.2,666.7,623.2,608.7,536.2,633.3
14,6900,North Reilly Road,Burglary,215,159,171,154,104,80,60,94,99,70,57,29,41,42,30,29,5,27,127,42.3,-41.4,-61.4,-34.1,-36,1014.5,826.1,420.3,594.2,391.3,613
